127.0.0.1 - - [11/Apr/2017:19:34:03 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Apr/2017:19:34:20 +0530] "GET /KMARegistrationForm/ HTTP/1.1" 200 7700
0:0:0:0:0:0:0:1 - - [11/Apr/2017:19:34:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [11/Apr/2017:19:35:01 +0530] "GET /KMARegistrationForm/index.jsp HTTP/1.1" 200 7811
0:0:0:0:0:0:0:1 - - [11/Apr/2017:19:39:54 +0530] "GET /KMARegistrationForm/index.jsp HTTP/1.1" 200 8324
0:0:0:0:0:0:0:1 - - [11/Apr/2017:19:41:32 +0530] "GET /KMARegistrationForm/index.jsp HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [11/Apr/2017:19:43:23 +0530] "GET /KMARegistrationForm/index.jsp HTTP/1.1" 200 8324
0:0:0:0:0:0:0:1 - - [11/Apr/2017:19:45:41 +0530] "GET /KMARegistrationForm/index.jsp HTTP/1.1" 200 8498
0:0:0:0:0:0:0:1 - - [11/Apr/2017:19:47:51 +0530] "GET /KMARegistrationForm/index.jsp HTTP/1.1" 200 8503
0:0:0:0:0:0:0:1 - - [11/Apr/2017:19:49:03 +0530] "GET /KMARegistrationForm/index.jsp HTTP/1.1" 200 8501
0:0:0:0:0:0:0:1 - - [11/Apr/2017:19:50:06 +0530] "GET /KMARegistrationForm/index.jsp HTTP/1.1" 200 8678
